,finetuned-modernbert-finance-large Top Words,bge-large-en-v1.5 Top Words,k-finance-sentence-transformer Top Words,setfit-finetuned-financial-text-classification Top Words,all-MiniLM-L6-v2 Top Words,nomic-embed-financial-matryoshka Top Words,fin-mpnet-base Top Words
0,"['capital', 'risk', 'grow', 'business', 'quite']","['security', 'global', 'autonomous', 'fair', 'enough']","['capital', 'growth', 'number', 'risk', 'term']","['rate', 'reduce', 'balance', 'low', 'volatility']","['capital', 'business', 'growth', 'term', 'sort']",,"['security', 'global', 'group', 'capital', 'enough']"
1,"['capital', 'sort', 'use', 'balance', 'sheet']","['customer', 'use', 'party', 'third', 'hold']","['security', 'pressure', 'private', 'group', 'credit']","['growth', 'revenue', 'number', 'capital', 'sort']","['security', 'global', 'color', 'regulatory', 'let']",,"['system', 'long', 'stuff', 'third', 'party']"
2,"['buy', 'stock', 'business', 'equal', 'consumer']","['capital', 'business', 'growth', 'term', 'grow']",,"['business', 'capital', 'use', 'term', 'customer']","['shoot', 'autonomous', 'basically', 'hold', 'final']",,"['business', 'return', 'grow', 'revenue', 'capital']"
3,,,,"['actual', 'statement', 'result', 'differ', 'commission']",,,"['credit', 'consumer', 'term', 'three', 'spending']"
4,,,,"['public', 'security', 'use', 'risk', 'tail']",,,"['growth', 'deposit', 'arrest', 'pressure', 'produce']"
